"Posição","Jogador","Team","GP","MPG","PPG","AC","TDA","%AC","3PM","3PA","3P%","LLC","TDAL","%LL"
"1","Stephen Curry","Warriors","50","34","31.4","514","1046","49.1","260","603","43.1","282","306","92.2"
"2","Bradley Beal","Wizards","48","35.4","31.1","526","1086","48.4","106","309","34.3","334","373","89.5"
"3","Joel Embiid","76ers","39","32.2","29.9","364","711","51.2","45","119","37.8","394","462","85.3"
"4","Damian Lillard","Trail Blazers","52","35.9","28.7","460","1046","44","212","560","37.9","360","389","92.5"
"5","Luka Doncic","Mavericks","51","35.1","28.6","519","1068","48.6","152","423","35.9","269","370","72.7"
"6","Giannis Antetokounmpo","Bucks","48","33.7","28.5","497","881","56.4","52","175","29.7","324","471","68.8"
"7","Zach LaVine","Bulls","53","35.2","27.5","521","1030","50.6","182","437","41.6","234","276","84.8"
"8","Kyrie Irving","Nets","42","35.2","27.4","440","857","51.3","114","292","39","157","172","91.3"
"9","Kevin Durant","Nets","24","32.7","27.3","223","411","54.3","61","132","46.2","147","169","87"
"10","Zion Williamson","Pelicans","53","33.1","26.9","550","892","61.7","9","30","30","319","455","70.1"
"11","Nikola Jokic","Nuggets","57","35.4","26.4","593","1042","56.9","80","191","41.9","240","281","85.4"
"12","Donovan Mitchell","Jazz","53","33.4","26.4","478","1091","43.8","178","461","38.6","267","316","84.5"
"13","Jayson Tatum","Celtics","52","35.6","25.8","484","1058","45.7","150","388","38.7","221","253","87.4"
"14","Kawhi Leonard","Clippers","46","34.4","25.7","431","836","51.6","90","229","39.3","231","263","87.8"
"15","LeBron James","Lakers","41","33.9","25.4","388","756","51.3","98","266","36.8","168","239","70.3"
"16","Devin Booker","Suns","53","33.8","25.4","493","1021","48.3","107","308","34.7","255","296","86.1"
"17","Trae Young","Hawks","53","34.3","25.4","407","945","43.1","122","341","35.8","409","469","87.2"
"18","James Harden","Nets","42","37.1","25.2","334","722","46.3","117","327","35.8","275","316","87"
"19","De'Aaron Fox","Kings","57","35","25.1","521","1090","47.8","102","314","32.5","287","403","71.2"
"20","Karl-Anthony Towns","Timberwolves","37","34.2","24.8","320","650","49.2","91","229","39.7","185","213","86.9"
"21","Jaylen Brown","Celtics","53","34.2","24.5","493","994","49.6","145","359","40.4","169","224","75.4"
"22","Collin Sexton","Cavaliers","48","35.8","24.3","427","886","48.2","77","208","37","234","286","81.8"
"23","Brandon Ingram","Pelicans","53","34.7","24.2","452","965","46.8","126","330","38.2","253","286","88.5"
"24","Nikola Vucevic","Bulls","58","33.6","24.2","568","1168","48.6","152","364","41.8","117","140","83.6"
"25","Paul George","Clippers","45","33.6","23.8","382","791","48.3","147","340","43.2","161","182","88.5"
"26","Shai Gilgeous-Alexander","Thunder","35","33.7","23.7","287","565","50.8","71","170","41.8","185","229","80.8"
"27","Julius Randle","Knicks","58","37.4","23.6","486","1059","45.9","121","302","40.1","276","344","80.2"
"28","CJ McCollum","Trail Blazers","32","33.6","23.5","278","627","44.3","121","310","39","75","92","81.5"
"29","Anthony Davis","Lakers","23","32.8","22.5","204","383","53.3","17","58","29.3","93","130","71.5"
"30","Jerami Grant","Pistons","50","34.3","22.4","371","867","42.8","109","308","35.4","271","315","86"
"31","Russell Westbrook","Wizards","50","35.5","21.8","414","945","43.8","64","206","31.1","196","317","61.8"
"32","Jimmy Butler","Heat","41","33.7","21.4","292","590","49.5","19","82","23.2","276","324","85.2"
"33","Malcolm Brogdon","Pacers","51","35","21.3","409","899","45.5","135","343","39.4","135","157","86"
"34","Jamal Murray","Nuggets","48","35.5","21.2","378","792","47.7","129","316","40.8","133","153","86.9"
"35","DeMar DeRozan","Spurs","48","33.9","21.1","351","712","49.3","18","66","27.3","295","335","88.1"
"36","Christian Wood","Rockets","35","31.9","21","286","540","53","64","167","38.3","100","156","64.1"
"37","Pascal Siakam","Raptors","46","35.6","20.8","344","760","45.3","55","195","28.2","214","255","83.9"
"38","Terry Rozier","Hornets","54","34.1","20.7","404","864","46.8","182","449","40.5","127","155","81.9"
"39","Tobias Harris","76ers","49","33.3","20.5","389","747","52.1","70","172","40.7","155","175","88.6"
"40","Kristaps Porzingis","Mavericks","37","31.4","20.5","286","605","47.3","84","234","35.9","102","120","85"
"41","John Wall","Rockets","38","32.1","20.4","276","685","40.3","77","237","32.5","146","198","73.7"
"42","Khris Middleton","Bucks","55","33.5","20.2","412","861","47.9","121","284","42.6","168","189","88.9"
"43","Domantas Sabonis","Pacers","53","35.7","19.9","397","764","52","42","139","30.2","217","297","73.1"
"44","Victor Oladipo","Heat","33","32.7","19.8","235","576","40.8","78","239","32.6","104","138","75.4"
"45","Malik Beasley","Timberwolves","37","32.8","19.6","264","600","44","128","321","39.9","68","80","85"
"46","Gordon Hayward","Hornets","44","34","19.6","311","658","47.3","85","205","41.5","156","185","84.3"
"47","Fred VanVleet","Raptors","45","36.1","19.5","288","736","39.1","147","402","36.6","154","174","88.5"
"48","D'Angelo Russell","Timberwolves","29","27.6","19.3","198","451","43.9","85","206","41.3","79","98","80.6"
"49","Norman Powell","Trail Blazers","55","31.3","19.1","361","742","48.7","145","347","41.8","185","215","86"
"50","Bam Adebayo","Heat","51","33.4","19","368","650","56.6","2","8","25","232","289","80.3"
